ID	KIDSDRIV	PLCYDATE	TRAVTIME	CAR_USE	POLICYNO	BLUEBOOK	INITDATE	RETAINED	NPOLICY	CAR_TYPE	RED_CAR	OLDCLAIM	CLM_FREQ	REVOKED	MVR_PTS	CLM_AMT	CLM_DATE	CLM_FLAG	BIRTH	AGE	AGE*GENDER	HOMEKIDS	YOJ	INCOME	GENDER	MARRIED	PARENT1	JOBCLASS	MAX_EDUC	HOME_VAL	SAMEHOME	DENSITY	YEARQTR
100058542	0	17mars96	17	Private	36292520	$9860 	06février90	6	2	Pickup	yes	$0 	0	No	0	$3336 	11novembre96	Yes	29novembre56	41-60	41-60M	0	13		M	Yes	No	Clerical	<High School	$123721 	7	Highly Urban	1996Q1
100093408	0	26juillet93	18	Private	31958061	$1500 	25août89	4	2	Sedan	yes	$0 	0	No	4	$5583 	05septembre93	Yes	13avril64	25-40	25-40M	2	12	$4457 	M	No	Yes	Student	High School	$0 	1	Urban	1993Q3
100208113	0	06juin94	47	Commercial	42433312	$30460 	07juin90	4	1	Panel Truck	yes	$5705 	2	No	0	$39104 	28février95	Yes	04novembre41	41-60	41-60M	0	13	$102904 	M	No	No		Masters	$0 	18	Urban	1994Q2
100237269	0	19janvier99	31	Private	49896544	$16580 	01avril95	4	2	SUV	no	$0 	0	No	0	$0 		No	06février54	41-60	41-60F	3	14	$14554 	F	Yes	No	Student	High School	$0 	8	Rural	1999Q1
10042968	0	18mai99	14	Commercial	79298192	$23030 	19mai95	4	1	Pickup	no	$6980 	2	No	2	$0 		No	16mars50	41-60	41-60F	0	13	$99493 	F	Yes	No	Blue Collar	High School	$288808 	1	Urban	1999Q2
100737644	0	28février96	46	Private	43393435	$20730 	02mars87	9	1	SUV	no	$0 	0	No	0	$0 		No	19août61	25-40	25-40F	0	10	$95197 	F	Yes	No	Manager	Bachelors	$281124 	11	Urban	1996Q1
10078597	1	08mai94	9	Commercial	24163158	$27420 	10mai84	10	1	Van	no	$0 	0	No	8	$5342 	05octobre94	Yes	18juillet39	41-60	41-60F	1	7	$102339 	F	No	Yes		PhD	$0 	11	Highly Urban	1994Q2
100818915	0	12octobre97	6	Private	3590540	$24360 	27septembre91	6	3	Sedan	no	$0 	0	No	0	$0 		No	15juin56	41-60	41-60F	0	11	$142297 	F	No	No	Lawyer	PhD	$0 		Highly Urban	1997Q4
100818915	0	23août97	6	Commercial	83424321	$36460 	25septembre97	1	3	Pickup	no	$4289 	2	No	0	$0 		No	15juin56	41-60	41-60F	0	11	$142297 	F	No	No		PhD	$0 		Highly Urban	1997Q3
100818915	0	18septembre97	6	Private	97035596	$20030 	26septembre93	4	3	SUV	no	$0 	0	No	2	$0 		No	15juin56	41-60	41-60F	0	11	$142297 	F	No	No		PhD	$0 		Highly Urban	1997Q3
100830732	0	14juin97	25	Private	39800794	$7520 	18mai97	1	2	Sports Car	no	$1101 	1	No	0	$0 		No	08mars57	41-60	41-60F	2	13	$7313 	F	Yes	No	Home Maker	Bachelors	$94969 	9	Urban	1997Q2
100830732	0	23mars97	25	Private	70616796	$14300 	22mai80	17	2	SUV	no	$27090 	1	No	5	$0 		No	08mars57	41-60	41-60F	2	13	$7313 	F	Yes	No	Home Maker	Bachelors	$94969 	9	Urban	1997Q1
10083678	0	26avril95	26	Commercial	4388414	$11050 	17mai89	6	2	Pickup	no	$41833 	3	Yes	5	$0 		No	15décembre40	41-60	41-60M	0		$37528 	M	Yes	No		Masters	$185996 		Highly Urban	1995Q2
100837521	0	19mai97	28	Private	26783276	$3770 	20avril97	1	2	Sedan	no	$5581 	3	No	2	$9117 	01janvier98	Yes	13décembre71	25-40	25-40M	1	11	$27957 	M	No	Yes	Clerical	High School	$0 	10	Highly Rural	1997Q2
100896763	0	24novembre93	43	Private	30576473	$15240 	27novembre80	13	1	Sedan	no	$0 	0	No	2	$0 		No	24juillet61	25-40	25-40M	0	9	$23864 	M	No	No	Clerical	<High School	$0 	1	Highly Rural	1993Q4
101014360	0	22juillet95	17	Private	81242865	$11560 	23juillet91	4	1	SUV	no	$0 	0	No	1	$0 		No	27juin48	41-60	41-60F	0	12	$58714 	F	Yes	No	Manager	Bachelors	$220686 	10	Urban	1995Q3
101209161	0	28octobre97	43	Commercial	15272807	$13950 	09novembre93	4	2	SUV	no	$0 	0	No	1	$0 		No	25janvier61	25-40	25-40F	0	12	$73664 	F	No	No	Blue Collar	Bachelors	$0 	13	Highly Rural	1997Q4
101209161	0	13novembre97	43	Commercial	17222568	$15110 	11novembre84	13	2	SUV	no	$0 	0	No	2	$0 		No	25janvier61	25-40	25-40F	0	12	$73664 	F	No	No	Blue Collar	Bachelors	$0 	13	Highly Rural	1997Q4
101302659	0	17juillet93	10	Commercial	45554152	$43590 	17juillet93	1	1	Sedan	no	$0 	0	No	1	$0 		No	30décembre32	>60	>60F	0	12	$83827 	F	Yes	No	Blue Collar	Bachelors	$275725 	8	Urban	1993Q3
101437485	0	15mai96	5	Private	8375768	$15140 	21mai74	22	1	SUV	no	$8431 	1	No	4	$0 		No	05juillet60	25-40	25-40F	0	10	$31869 	F	No	No	Clerical	High School	$0 	7	Urban	1996Q2
101684050	0	06juillet95	31	Private	47194110	$26200 	06juillet95	1	1	Pickup	no	$0 	0	No	0	$0 		No	27décembre45	41-60	41-60F	0	16	$148193 	F	Yes	No	Professional	Bachelors	$436694 	16	Urban	1995Q3
101731472	0	20juillet97	45	Commercial	19922522	$9170 	26juin86	11	3	SUV	no	$1881 	1	No	8	$4127 	10mars98	Yes	17mai64	25-40	25-40F	2	14	$29250 	F	Yes	No	Blue Collar	High School	$159239 	7	Highly Urban	1997Q3
101731472	0	24mai97	45	Commercial	31129320	$23380 	23juin97	1	3	Pickup	no	$0 	0	No	1	$0 		No	17mai64	25-40	25-40F	2	14	$29250 	F	Yes	No	Blue Collar	High School	$159239 	7	Highly Urban	1997Q2
10185862	0	25décembre93	22	Private	15868020	$11390 	31décembre82	11	3	Pickup	no	$0 	0	No	0	$0 		No	12novembre49	41-60	41-60M	0	14	$15989 	M	Yes	No	Clerical	<High School	$117038 	5	Urban	1993Q4
10185862	0	14décembre93	22	Private	21319828	$20000 	01janvier79	14	3	Van	no	$0 	0	Yes	0	$0 		No	12novembre49	41-60	41-60M	0	14	$15989 	M	Yes	No	Clerical	<High School	$117038 	5	Urban	1993Q4
10185862	0	04janvier94	22	Private	62120411	$15330 	29décembre89	4	3	Sedan	no	$0 	0	No	0	$0 		No	12novembre49	41-60	41-60M	0	14		M	Yes	No	Clerical	<High School	$117038 	5	Urban	1994Q1
102077932	0	24mars96	5	Private	56306672	$20310 	27mars87	9	1	SUV	no	$6596 	1	No	6	$0 		No	28février73	25-40	25-40F	4	12	$27666 	F	Yes	No	Clerical	High School	$0 	9	Rural	1996Q1
102080091	0	03novembre98	36	Private	98446959	$6770 	04novembre94	4	1	SUV	no	$0 	0	No	0	$0 		No	23mars70	25-40	25-40F	4	4	$23652 	F	No	Yes	Clerical	High School	$0 	8	Rural	1998Q4
102262070	0	27juillet96	34	Commercial	45051866	$21830 	14juin93	3	3	Van	yes	$8170 	2	No	3	$0 		No	12septembre53	41-60	41-60M	0	11	$146882 	M	No	No	Manager	PhD	$0 	10	Urban	1996Q3
102318953	0	12juillet94	47	Commercial	49251325	$4200 	14juillet94	1	4	Sports Car	no	$0 	0	No	4	$4102 	24juillet94	Yes	15février72	25-40	25-40F	3	13	$35851 	F	Yes	No	Blue Collar	High School	$147018 	1	Highly Urban	1994Q3
102411690	0	13octobre97	51	Commercial	14442896	$6700 	16octobre87	10	1	Pickup	yes	$5984 	2	No	6	$1070 	10mai98	Yes	15septembre47	41-60	41-60M	0	13	$77351 	M	Yes	No		Masters	$187879 	16	Urban	1997Q4
102503044	0	16décembre96	47	Private	96500231	$13030 	05février97	1	3	SUV	no	$2334 	1	No	3	$14509 	16septembre97	Yes	19juin58	41-60	41-60F	0	0	$0 	F	No	No	Home Maker	Masters	$109155 	15	Urban	1996Q4
