"Driving_kids","TRAVTIME","COMMERCIAL_VEHICLE","BLUEBOOK","RETAINED","NPOLICY","CAR_TYPE","RED_CAR","OLDCLAIM","Past_claim","REVOKED","MVR_PTS","CLM_AMT","CLM_FLAG","AGE","Kids","NEW_IN_JOB","INCOME","SEX_MALE","MARRIED","SINGLE_PARENT","JOBCLASS","MAX_EDUC","HOME_VAL","SAMEHOME","URBAN_NOT_RURAL","AGE_YEARS","College_MAX_EDUC","Sedan","Student","Blue_collar","Young_age","Homeowner"
0,17,0,9860,6,2,"Pickup",1,0,0,0,0,3336,1,"41-60",0,0,61610,1,1,0,"Clerical","<High School",123721,7,1,39,0,0,0,0,0,1
0,18,0,1500,4,2,"Sedan",1,0,0,0,4,5583,1,"25-40",1,0,4457,1,0,1,"Student","High School",0,1,1,29,0,1,1,0,0,0
0,47,1,30460,4,1,"Panel Truck",1,5705,1,0,0,39104,1,"41-60",0,0,102904,1,0,0,"Other","Masters",0,18,1,53,1,0,0,0,0,0
0,31,0,16580,4,2,"SUV",0,0,0,0,0,0,0,"41-60",1,0,14554,0,1,0,"Student","High School",0,8,0,45,0,0,1,0,0,0
0,14,1,23030,4,1,"Pickup",0,6980,1,0,2,0,0,"41-60",0,0,99493,0,1,0,"Blue Collar","High School",288808,1,1,49,0,0,0,1,0,1
0,46,0,20730,9,1,"SUV",0,0,0,0,0,0,0,"25-40",0,0,95197,0,1,0,"Manager","Bachelors",281124,11,1,35,1,0,0,0,0,1
1,9,1,27420,10,1,"Van",0,0,0,0,8,5342,1,"41-60",1,0,102339,0,0,1,"Other","PhD",0,11,1,55,1,0,0,0,0,0
0,6,0,24360,6,3,"Sedan",0,0,0,0,0,0,0,"41-60",0,0,142297,0,0,0,"Lawyer","PhD",0,8,1,41,1,1,0,0,0,0
0,6,1,36460,1,3,"Pickup",0,4289,1,0,0,0,0,"41-60",0,0,142297,0,0,0,"Other","PhD",0,8,1,41,1,0,0,0,0,0
0,6,0,20030,4,3,"SUV",0,0,0,0,2,0,0,"41-60",0,0,142297,0,0,0,"Other","PhD",0,8,1,41,1,0,0,0,0,0
0,25,0,7520,1,2,"Sports Car",0,1101,1,0,0,0,0,"41-60",1,0,7313,0,1,0,"Home Maker","Bachelors",94969,9,1,40,1,0,0,0,0,1
0,25,0,14300,17,2,"SUV",0,27090,1,0,5,0,0,"41-60",1,0,7313,0,1,0,"Home Maker","Bachelors",94969,9,1,40,1,0,0,0,0,1
0,26,1,11050,6,2,"Pickup",0,41833,1,1,5,0,0,"41-60",0,0,37528,1,1,0,"Other","Masters",185996,8,1,55,1,0,0,0,0,1
0,28,0,3770,1,2,"Sedan",0,5581,1,0,2,9117,1,"25-40",1,0,27957,1,0,1,"Clerical","High School",0,10,0,26,0,1,0,0,0,0
0,43,0,15240,13,1,"Sedan",0,0,0,0,2,0,0,"25-40",0,0,23864,1,0,0,"Clerical","<High School",0,1,0,32,0,1,0,0,0,0
0,17,0,11560,4,1,"SUV",0,0,0,0,1,0,0,"41-60",0,0,58714,0,1,0,"Manager","Bachelors",220686,10,1,47,1,0,0,0,0,1
0,43,1,13950,4,2,"SUV",0,0,0,0,1,0,0,"25-40",0,0,73664,0,0,0,"Blue Collar","Bachelors",0,13,0,37,1,0,0,1,0,0
0,43,1,15110,13,2,"SUV",0,0,0,0,2,0,0,"25-40",0,0,73664,0,0,0,"Blue Collar","Bachelors",0,13,0,37,1,0,0,1,0,0
0,10,1,43590,1,1,"Sedan",0,0,0,0,1,0,0,">60",0,0,83827,0,1,0,"Blue Collar","Bachelors",275725,8,1,61,1,1,0,1,0,1
0,5,0,15140,22,1,"SUV",0,8431,1,0,4,0,0,"25-40",0,0,31869,0,0,0,"Clerical","High School",0,7,1,36,0,0,0,0,0,0
0,31,0,26200,1,1,"Pickup",0,0,0,0,0,0,0,"41-60",0,0,148193,0,1,0,"Professional","Bachelors",436694,16,1,50,1,0,0,0,0,1
0,45,1,9170,11,3,"SUV",0,1881,1,0,8,4127,1,"25-40",1,0,29250,0,1,0,"Blue Collar","High School",159239,7,1,33,0,0,0,1,0,1
0,45,1,23380,1,3,"Pickup",0,0,0,0,1,0,0,"25-40",1,0,29250,0,1,0,"Blue Collar","High School",159239,7,1,33,0,0,0,1,0,1
0,22,0,11390,11,3,"Pickup",0,0,0,0,0,0,0,"41-60",0,0,15989,1,1,0,"Clerical","<High School",117038,5,1,44,0,0,0,0,0,1
0,22,0,20000,14,3,"Van",0,0,0,1,0,0,0,"41-60",0,0,15989,1,1,0,"Clerical","<High School",117038,5,1,44,0,0,0,0,0,1
0,22,0,15330,4,3,"Sedan",0,0,0,0,0,0,0,"41-60",0,0,61610,1,1,0,"Clerical","<High School",117038,5,1,44,0,1,0,0,0,1
0,5,0,20310,9,1,"SUV",0,6596,1,0,6,0,0,"25-40",1,0,27666,0,1,0,"Clerical","High School",0,9,0,23,0,0,0,0,1,0
0,36,0,6770,4,1,"SUV",0,0,0,0,0,0,0,"25-40",1,0,23652,0,0,1,"Clerical","High School",0,8,0,29,0,0,0,0,0,0
0,34,1,21830,3,3,"Van",1,8170,1,0,3,0,0,"41-60",0,0,146882,1,0,0,"Manager","PhD",0,10,1,43,1,0,0,0,0,0
0,47,1,4200,1,4,"Sports Car",0,0,0,0,4,4102,1,"25-40",1,0,35851,0,1,0,"Blue Collar","High School",147018,1,1,22,0,0,0,1,1,1
0,51,1,6700,10,1,"Pickup",1,5984,1,0,6,1070,1,"41-60",0,0,77351,1,1,0,"Other","Masters",187879,16,1,50,1,0,0,0,0,1
