"KIDSDRIV","TRAVTIME","CAR_USE","BLUEBOOK","RETAINED","NPOLICY","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CLM_AMT","CLM_FLAG","AGE","AGE.GENDER","HOMEKIDS","YOJ","INCOME","GENDER","MARRIED","PARENT1","JOBCLASS","MAX_EDUC","HOME_VAL","SAMEHOME","DENSITY","AGE_YEARS","AGE_CAR"
0,17,"Private",9860,6,2,"Pickup","yes",0,0,"No",0,3336,"Yes","41-60","41-60M",0,13,61610,"M","Yes","No","Clerical","<High School",123721,7,"Highly Urban",39,6
0,18,"Private",1500,4,2,"Sedan","yes",0,0,"No",4,5583,"Yes","25-40","25-40M",2,12,4457,"M","No","Yes","Student","High School",0,1,"Urban",29,4
0,47,"Commercial",30460,4,1,"Panel Truck","yes",5705,2,"No",0,39104,"Yes","41-60","41-60M",0,13,102904,"M","No","No","","Masters",0,18,"Urban",53,4
0,31,"Private",16580,4,2,"SUV","no",0,0,"No",0,0,"No","41-60","41-60F",3,14,14554,"F","Yes","No","Student","High School",0,8,"Rural",45,4
0,14,"Commercial",23030,4,1,"Pickup","no",6980,2,"No",2,0,"No","41-60","41-60F",0,13,99493,"F","Yes","No","Blue Collar","High School",288808,1,"Urban",49,4
0,46,"Private",20730,9,1,"SUV","no",0,0,"No",0,0,"No","25-40","25-40F",0,10,95197,"F","Yes","No","Manager","Bachelors",281124,11,"Urban",35,9
1,9,"Commercial",27420,10,1,"Van","no",0,0,"No",8,5342,"Yes","41-60","41-60F",1,7,102339,"F","No","Yes","","PhD",0,11,"Highly Urban",55,10
0,6,"Private",24360,6,3,"Sedan","no",0,0,"No",0,0,"No","41-60","41-60F",0,11,142297,"F","No","No","Lawyer","PhD",0,8,"Highly Urban",41,6
0,6,"Commercial",36460,1,3,"Pickup","no",4289,2,"No",0,0,"No","41-60","41-60F",0,11,142297,"F","No","No","","PhD",0,8,"Highly Urban",41,0
0,6,"Private",20030,4,3,"SUV","no",0,0,"No",2,0,"No","41-60","41-60F",0,11,142297,"F","No","No","","PhD",0,8,"Highly Urban",41,4
0,25,"Private",7520,1,2,"Sports Car","no",1101,1,"No",0,0,"No","41-60","41-60F",2,13,7313,"F","Yes","No","Home Maker","Bachelors",94969,9,"Urban",40,0
0,25,"Private",14300,17,2,"SUV","no",27090,1,"No",5,0,"No","41-60","41-60F",2,13,7313,"F","Yes","No","Home Maker","Bachelors",94969,9,"Urban",40,17
0,26,"Commercial",11050,6,2,"Pickup","no",41833,3,"Yes",5,0,"No","41-60","41-60M",0,10,37528,"M","Yes","No","","Masters",185996,8,"Highly Urban",55,6
0,28,"Private",3770,1,2,"Sedan","no",5581,3,"No",2,9117,"Yes","25-40","25-40M",1,11,27957,"M","No","Yes","Clerical","High School",0,10,"Highly Rural",26,0
0,43,"Private",15240,13,1,"Sedan","no",0,0,"No",2,0,"No","25-40","25-40M",0,9,23864,"M","No","No","Clerical","<High School",0,1,"Highly Rural",32,13
0,17,"Private",11560,4,1,"SUV","no",0,0,"No",1,0,"No","41-60","41-60F",0,12,58714,"F","Yes","No","Manager","Bachelors",220686,10,"Urban",47,4
0,43,"Commercial",13950,4,2,"SUV","no",0,0,"No",1,0,"No","25-40","25-40F",0,12,73664,"F","No","No","Blue Collar","Bachelors",0,13,"Highly Rural",37,4
0,43,"Commercial",15110,13,2,"SUV","no",0,0,"No",2,0,"No","25-40","25-40F",0,12,73664,"F","No","No","Blue Collar","Bachelors",0,13,"Highly Rural",37,13
0,10,"Commercial",43590,1,1,"Sedan","no",0,0,"No",1,0,"No",">60",">60F",0,12,83827,"F","Yes","No","Blue Collar","Bachelors",275725,8,"Urban",61,0
0,5,"Private",15140,22,1,"SUV","no",8431,1,"No",4,0,"No","25-40","25-40F",0,10,31869,"F","No","No","Clerical","High School",0,7,"Urban",36,22
0,31,"Private",26200,1,1,"Pickup","no",0,0,"No",0,0,"No","41-60","41-60F",0,16,148193,"F","Yes","No","Professional","Bachelors",436694,16,"Urban",50,0
0,45,"Commercial",9170,11,3,"SUV","no",1881,1,"No",8,4127,"Yes","25-40","25-40F",2,14,29250,"F","Yes","No","Blue Collar","High School",159239,7,"Highly Urban",33,11
0,45,"Commercial",23380,1,3,"Pickup","no",0,0,"No",1,0,"No","25-40","25-40F",2,14,29250,"F","Yes","No","Blue Collar","High School",159239,7,"Highly Urban",33,0
0,22,"Private",11390,11,3,"Pickup","no",0,0,"No",0,0,"No","41-60","41-60M",0,14,15989,"M","Yes","No","Clerical","<High School",117038,5,"Urban",44,11
0,22,"Private",20000,14,3,"Van","no",0,0,"Yes",0,0,"No","41-60","41-60M",0,14,15989,"M","Yes","No","Clerical","<High School",117038,5,"Urban",44,15
0,22,"Private",15330,4,3,"Sedan","no",0,0,"No",0,0,"No","41-60","41-60M",0,14,61610,"M","Yes","No","Clerical","<High School",117038,5,"Urban",44,4
0,5,"Private",20310,9,1,"SUV","no",6596,1,"No",6,0,"No","25-40","25-40F",4,12,27666,"F","Yes","No","Clerical","High School",0,9,"Rural",23,9
0,36,"Private",6770,4,1,"SUV","no",0,0,"No",0,0,"No","25-40","25-40F",4,4,23652,"F","No","Yes","Clerical","High School",0,8,"Rural",29,4
0,34,"Commercial",21830,3,3,"Van","yes",8170,2,"No",3,0,"No","41-60","41-60M",0,11,146882,"M","No","No","Manager","PhD",0,10,"Urban",43,3
0,47,"Commercial",4200,1,4,"Sports Car","no",0,0,"No",4,4102,"Yes","25-40","25-40F",3,13,35851,"F","Yes","No","Blue Collar","High School",147018,1,"Highly Urban",22,0
0,51,"Commercial",6700,10,1,"Pickup","yes",5984,2,"No",6,1070,"Yes","41-60","41-60M",0,13,77351,"M","Yes","No","","Masters",187879,16,"Urban",50,10
0,47,"Private",13030,1,3,"SUV","no",2334,1,"No",3,14509,"Yes","41-60","41-60F",0,0,0,"F","No","No","Home Maker","Masters",109155,15,"Urban",39,0
0,7,"Private",14630,17,1,"Sedan","yes",0,0,"No",1,0,"No","41-60","41-60M",2,11,75265,"M","No","Yes","Manager","High School",212010,10,"Urban",51,17
3,75,"Private",13070,1,1,"Sports Car","no",3664,1,"No",0,5064,"Yes",">60",">60F",4,16,53698,"F","Yes","No","Professional","Bachelors",154602,1,"Rural",59,0
0,25,"Private",10010,6,1,"Pickup","no",0,0,"No",0,0,"No","41-60","41-60M",0,6,32073,"M","Yes","No","Blue Collar","High School",145645,10,"Rural",48,6
0,40,"Commercial",16010,6,1,"Sedan","yes",0,0,"No",1,0,"No","41-60","41-60M",0,14,96143,"M","Yes","No","Blue Collar","Bachelors",275140,12,"Highly Rural",45,6
0,12,"Private",13030,1,4,"Sports Car","no",0,0,"No",0,4307,"Yes","25-40","25-40F",1,11,36179,"F","No","Yes","Clerical","<High School",106892,6,"Highly Rural",31,0
0,39,"Private",9810,4,4,"SUV","no",0,0,"No",0,0,"No","25-40","25-40F",1,11,45384,"F","No","Yes","Clerical","High School",187731,8,"Rural",30,4
0,26,"Commercial",48380,4,2,"Panel Truck","no",0,0,"Yes",1,6290,"Yes","41-60","41-60F",0,14,119537,"F","Yes","No","Professional","PhD",360697,20,"Urban",57,4
1,9,"Private",10840,7,1,"Sedan","yes",3973,1,"No",0,0,"No","25-40","25-40M",2,7,3414,"M","Yes","No","Student","<High School",0,8,"Highly Urban",38,7
1,58,"Private",15400,6,1,"SUV","no",0,0,"No",0,0,"No","25-40","25-40F",3,9,27431,"F","No","Yes","Blue Collar","<High School",153652,7,"Highly Rural",31,6
0,14,"Private",8540,6,1,"Pickup","no",3653,1,"No",2,1745,"Yes","41-60","41-60M",0,13,18426,"M","No","No","Clerical","<High School",137473,1,"Highly Urban",50,6
0,63,"Private",8420,7,1,"SUV","no",3721,2,"No",2,0,"No","41-60","41-60F",0,0,0,"F","No","No","Home Maker","Bachelors",124751,12,"Highly Urban",44,7
0,12,"Private",6550,7,1,"Pickup","yes",7475,1,"No",4,0,"No","25-40","25-40M",0,9,36763,"M","Yes","No","Blue Collar","<High School",175960,5,"Highly Urban",27,7
0,16,"Private",12710,1,2,"SUV","no",0,0,"No",0,0,"No","25-40","25-40F",3,14,31389,"F","Yes","No","Blue Collar","<High School",158657,5,"Rural",30,0
1,17,"Commercial",19880,1,1,"Sports Car","no",0,0,"Yes",0,3642,"Yes","41-60","41-60F",2,8,48819,"F","Yes","No","Blue Collar","Bachelors",198108,13,"Highly Urban",45,0
0,51,"Commercial",28560,7,2,"Panel Truck","yes",0,0,"No",0,0,"No","41-60","41-60M",0,13,99441,"M","No","No","","PhD",0,13,"Urban",58,7
0,41,"Private",15040,4,1,"Sedan","no",0,0,"No",1,0,"No","41-60","41-60M",0,14,135361,"M","Yes","No","Lawyer","Masters",390682,10,"Rural",52,4
0,20,"Private",11130,1,2,"Sedan","no",0,0,"No",1,0,"No","41-60","41-60M",0,11,96339,"M","Yes","No","Manager","Bachelors",321111,12,"Urban",52,0
2,38,"Private",9670,3,3,"SUV","no",0,0,"No",0,4614,"Yes","41-60","41-60F",3,14,15385,"F","No","Yes","Clerical","<High School",0,5,"Highly Urban",43,3
2,60,"Private",9690,9,3,"SUV","no",34514,1,"Yes",0,4290,"Yes","41-60","41-60F",3,14,36912,"F","No","Yes","Clerical","Bachelors",0,12,"Urban",43,9
