"KIDSDRIV","TRAVTIME","CAR_USE","BLUEBOOK","RETAINED","CAR_TYPE","OLDCLAIM","CLM_FREQ","MVR_PTS","CLM_FLAG","HOMEKIDS","YOJ","INCOME","GENDER","MARRIED","PARENT1","JOBCLASS","MAX_EDUC","HOME_VAL","SAMEHOME","DENSITY","AGE_YEARS","PLCY_YEARS"
0,0.0876,1,0.1225,0.2083,0.32,0,0,0,1,0,0.455583596635207,0.16786144751722,1,1,0,0.561364344304849,0.2,0.174636371117054,0.364544247695972,0.5,0.4091,0.24
0,0.0949,1,0,0.125,0.48,0,0,0.3077,1,0.4,0.455583596635207,0.16786144751722,1,0,1,0.561364344304849,0.6,0.174636371117054,0.364544247695972,1,0.2576,0.16
0,0.3066,0,0.4244,0.125,0.16,0.1,0.4,0,1,0,0.455583596635207,0.16786144751722,1,0,0,0.561364344304849,0.8,0.174636371117054,0.364544247695972,1,0.6212,0.16
0,0.1898,1,0.221,0.125,0.8,0,0,0,0,0.6,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.6,0.174636371117054,0.364544247695972,0.75,0.5,0.16
0,0.0657,0,0.3155,0.125,0.32,0.1224,0.4,0.1538,0,0,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.6,0.174636371117054,0.364544247695972,1,0.5606,0.16
0,0.2993,1,0.2818,0.3333,0.8,0,0,0,0,0,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,1,0.3485,0.36
0.25,0.0292,0,0.3798,0.375,0.96,0,0,0.6154,1,0.2,0.455583596635207,0.16786144751722,0,0,1,0.561364344304849,1,0.174636371117054,0.364544247695972,0.5,0.6515,0.4
0,0.0073,1,0.335,0.2083,0.48,0,0,0,0,0,0.455583596635207,0.16786144751722,0,0,0,0.561364344304849,1,0.174636371117054,0.364544247695972,0.5,0.4394,0.24
0,0.0073,0,0.5123,0,0.32,0.0752,0.4,0,0,0,0.455583596635207,0.16786144751722,0,0,0,0.561364344304849,1,0.174636371117054,0.364544247695972,0.5,0.4394,0
0,0.0073,1,0.2715,0.125,0.8,0,0,0.1538,0,0,0.455583596635207,0.16786144751722,0,0,0,0.561364344304849,1,0.174636371117054,0.364544247695972,0.5,0.4394,0.16
0,0.146,1,0.0882,0,0.64,0.0193,0.2,0,0,0.4,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,1,0.4242,0
0,0.146,1,0.1876,0.6667,0.8,0.475,0.2,0.3846,0,0.4,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,1,0.4242,0.68
0,0.1533,0,0.1399,0.2083,0.32,0.7334,0.6,0.3846,0,0,0.455583596635207,0.16786144751722,1,1,0,0.561364344304849,0.8,0.174636371117054,0.364544247695972,0.5,0.6515,0.24
0,0.1679,1,0.0333,0,0.48,0.0978,0.6,0.1538,1,0.2,0.455583596635207,0.16786144751722,1,0,1,0.561364344304849,0.6,0.174636371117054,0.364544247695972,0.25,0.2121,0
0,0.2774,1,0.2013,0.5,0.48,0,0,0.1538,0,0,0.455583596635207,0.16786144751722,1,0,0,0.561364344304849,0.2,0.174636371117054,0.364544247695972,0.25,0.303,0.52
0,0.0876,1,0.1474,0.125,0.8,0,0,0.0769,0,0,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,1,0.5303,0.16
0,0.2774,0,0.1824,0.125,0.8,0,0,0.0769,0,0,0.455583596635207,0.16786144751722,0,0,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,0.25,0.3788,0.16
0,0.2774,0,0.1994,0.5,0.8,0,0,0.1538,0,0,0.455583596635207,0.16786144751722,0,0,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,0.25,0.3788,0.52
0,0.0365,0,0.6168,0,0.48,0,0,0.0769,0,0,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,1,0.7424,0
0,0,1,0.1999,0.875,0.8,0.1478,0.2,0.3077,0,0,0.455583596635207,0.16786144751722,0,0,0,0.561364344304849,0.6,0.174636371117054,0.364544247695972,1,0.3636,0.88
0,0.1898,1,0.362,0,0.32,0,0,0,0,0,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,1,0.5758,0
0,0.292,0,0.1124,0.4167,0.8,0.033,0.2,0.6154,1,0.4,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.6,0.174636371117054,0.364544247695972,0.5,0.3182,0.44
0,0.292,0,0.3206,0,0.32,0,0,0.0769,0,0.4,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.6,0.174636371117054,0.364544247695972,0.5,0.3182,0
0,0.1241,1,0.1449,0.4167,0.32,0,0,0,0,0,0.455583596635207,0.16786144751722,1,1,0,0.561364344304849,0.2,0.174636371117054,0.364544247695972,1,0.4848,0.44
0,0.1241,1,0.2711,0.5417,0.96,0,0,0,0,0,0.455583596635207,0.16786144751722,1,1,0,0.561364344304849,0.2,0.174636371117054,0.364544247695972,1,0.4848,0.6
0,0.1241,1,0.2027,0.125,0.48,0,0,0,0,0,0.455583596635207,0.16786144751722,1,1,0,0.561364344304849,0.2,0.174636371117054,0.364544247695972,1,0.4848,0.16
0,0,1,0.2756,0.3333,0.8,0.1156,0.2,0.4615,0,0.8,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.6,0.174636371117054,0.364544247695972,0.75,0.1667,0.36
0,0.2263,1,0.0772,0.125,0.8,0,0,0,0,0.8,0.455583596635207,0.16786144751722,0,0,1,0.561364344304849,0.6,0.174636371117054,0.364544247695972,0.75,0.2576,0.16
0,0.2117,0,0.2979,0.0833,0.96,0.1432,0.4,0.2308,0,0,0.455583596635207,0.16786144751722,1,0,0,0.561364344304849,1,0.174636371117054,0.364544247695972,1,0.4697,0.12
0,0.3066,0,0.0396,0,0.64,0,0,0.3077,1,0.6,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.6,0.174636371117054,0.364544247695972,0.5,0.1515,0
0,0.3358,0,0.0762,0.375,0.32,0.1049,0.4,0.4615,1,0,0.455583596635207,0.16786144751722,1,1,0,0.561364344304849,0.8,0.174636371117054,0.364544247695972,1,0.5758,0.4
0,0.3066,1,0.169,0,0.8,0.0409,0.2,0.2308,1,0,0.455583596635207,0.16786144751722,0,0,0,0.561364344304849,0.8,0.174636371117054,0.364544247695972,1,0.4091,0
0,0.0146,1,0.1924,0.6667,0.48,0,0,0.0769,0,0.4,0.455583596635207,0.16786144751722,1,0,1,0.561364344304849,0.6,0.174636371117054,0.364544247695972,1,0.5909,0.68
0.75,0.5109,1,0.1695,0,0.64,0.0642,0.2,0,1,0.8,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,0.75,0.7121,0
0,0.146,1,0.1247,0.2083,0.32,0,0,0,0,0,0.455583596635207,0.16786144751722,1,1,0,0.561364344304849,0.6,0.174636371117054,0.364544247695972,0.75,0.5455,0.24
0,0.2555,0,0.2126,0.2083,0.48,0,0,0.0769,0,0,0.455583596635207,0.16786144751722,1,1,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,0.25,0.5,0.24
0,0.0511,1,0.169,0,0.64,0,0,0,1,0.2,0.455583596635207,0.16786144751722,0,0,1,0.561364344304849,0.2,0.174636371117054,0.364544247695972,0.25,0.2879,0
0,0.2482,1,0.1218,0.125,0.8,0,0,0,0,0.2,0.455583596635207,0.16786144751722,0,0,1,0.561364344304849,0.6,0.174636371117054,0.364544247695972,0.75,0.2727,0.16
0,0.1533,0,0.687,0.125,0.16,0,0,0.0769,1,0,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,1,0.174636371117054,0.364544247695972,1,0.6818,0.16
0.25,0.0292,1,0.1369,0.25,0.48,0.0697,0.2,0,0,0.4,0.455583596635207,0.16786144751722,1,1,0,0.561364344304849,0.2,0.174636371117054,0.364544247695972,0.5,0.3939,0.28
0.25,0.3869,1,0.2037,0.2083,0.8,0,0,0,0,0.6,0.455583596635207,0.16786144751722,0,0,1,0.561364344304849,0.2,0.174636371117054,0.364544247695972,0.25,0.2879,0.24
0,0.0657,1,0.1032,0.2083,0.32,0.064,0.2,0.1538,1,0,0.455583596635207,0.16786144751722,1,0,0,0.561364344304849,0.2,0.174636371117054,0.364544247695972,0.5,0.5758,0.24
0,0.4234,1,0.1014,0.25,0.8,0.0652,0.4,0.1538,0,0,0.455583596635207,0.16786144751722,0,0,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,0.5,0.4848,0.28
0,0.0511,1,0.074,0.25,0.32,0.1311,0.2,0.3077,0,0,0.455583596635207,0.16786144751722,1,1,0,0.561364344304849,0.2,0.174636371117054,0.364544247695972,0.5,0.2273,0.28
0,0.0803,1,0.1643,0,0.8,0,0,0,0,0.6,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.2,0.174636371117054,0.364544247695972,0.75,0.2727,0
0.25,0.0876,0,0.2693,0,0.64,0,0,0,1,0.4,0.455583596635207,0.16786144751722,0,1,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,0.5,0.5,0
0,0.3358,0,0.3965,0.25,0.16,0,0,0,0,0,0.455583596635207,0.16786144751722,1,0,0,0.561364344304849,1,0.174636371117054,0.364544247695972,1,0.697,0.28
0,0.2628,1,0.1984,0.125,0.48,0,0,0.0769,0,0,0.455583596635207,0.16786144751722,1,1,0,0.561364344304849,0.8,0.174636371117054,0.364544247695972,0.75,0.6061,0.16
0,0.1095,1,0.1411,0,0.48,0,0,0.0769,0,0,0.455583596635207,0.16786144751722,1,1,0,0.561364344304849,0.4,0.174636371117054,0.364544247695972,1,0.6061,0
0.5,0.2409,1,0.1197,0.0833,0.8,0,0,0,1,0.6,0.455583596635207,0.16786144751722,0,0,1,0.561364344304849,0.2,0.174636371117054,0.364544247695972,0.5,0.4697,0.12
0.5,0.4015,1,0.12,0.3333,0.8,0.6051,0.2,0,1,0.6,0.455583596635207,0.16786144751722,0,0,1,0.561364344304849,0.4,0.174636371117054,0.364544247695972,1,0.4697,0.36
0.5,0.4015,1,0.074,0.4583,0.8,0.0665,0.2,0.5385,0,0.6,0.455583596635207,0.16786144751722,0,0,1,0.561364344304849,0.4,0.174636371117054,0.364544247695972,1,0.4697,0.48
