"KIDSDRIV","PLCYDATE","TRAVTIME","CAR_USE","BLUEBOOK","INITDATE","RETAINED","NPOLICY","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CLM_AMT","CLM_DATE","CLM_FLAG","BIRTH","AGE","AGE.GENDER","HOMEKIDS","YOJ","INCOME","GENDER","MARRIED","PARENT1","JOBCLASS","MAX_EDUC","HOME_VAL","SAMEHOME","DENSITY","YEARQTR"
0,1996-03-17,17,"Private","$9860 ",1990-02-06,6,2,"Pickup","yes","$0 ",0,"No",0,"$3336 ",1996-11-11,"Yes",1956-11-29,"41-60","41-60M",0,13,"","M","Yes","No","Clerical","<High School","$123721 ",7,"Highly Urban","1996Q1"
0,1993-07-26,18,"Private","$1500 ",1989-08-25,4,2,"Sedan","yes","$0 ",0,"No",4,"$5583 ",1993-09-05,"Yes",1964-04-13,"25-40","25-40M",2,12,"$4457 ","M","No","Yes","Student","High School","$0 ",1,"Urban","1993Q3"
0,1994-06-06,47,"Commercial","$30460 ",1990-06-07,4,1,"Panel Truck","yes","$5705 ",2,"No",0,"$39104 ",1995-02-28,"Yes",1941-11-04,"41-60","41-60M",0,13,"$102904 ","M","No","No","","Masters","$0 ",18,"Urban","1994Q2"
0,1999-01-19,31,"Private","$16580 ",1995-04-01,4,2,"SUV","no","$0 ",0,"No",0,"$0 ",NA,"No",1954-02-06,"41-60","41-60F",3,14,"$14554 ","F","Yes","No","Student","High School","$0 ",8,"Rural","1999Q1"
0,1999-05-18,14,"Commercial","$23030 ",1995-05-19,4,1,"Pickup","no","$6980 ",2,"No",2,"$0 ",NA,"No",1950-03-16,"41-60","41-60F",0,13,"$99493 ","F","Yes","No","Blue Collar","High School","$288808 ",1,"Urban","1999Q2"
0,1996-02-28,46,"Private","$20730 ",1987-03-02,9,1,"SUV","no","$0 ",0,"No",0,"$0 ",NA,"No",1961-08-19,"25-40","25-40F",0,10,"$95197 ","F","Yes","No","Manager","Bachelors","$281124 ",11,"Urban","1996Q1"
1,1994-05-08,9,"Commercial","$27420 ",1984-05-10,10,1,"Van","no","$0 ",0,"No",8,"$5342 ",1994-10-05,"Yes",1939-07-18,"41-60","41-60F",1,7,"$102339 ","F","No","Yes","","PhD","$0 ",11,"Highly Urban","1994Q2"
0,1997-10-12,6,"Private","$24360 ",1991-09-27,6,3,"Sedan","no","$0 ",0,"No",0,"$0 ",NA,"No",1956-06-15,"41-60","41-60F",0,11,"$142297 ","F","No","No","Lawyer","PhD","$0 ",NA,"Highly Urban","1997Q4"
0,1997-08-23,6,"Commercial","$36460 ",1997-09-25,1,3,"Pickup","no","$4289 ",2,"No",0,"$0 ",NA,"No",1956-06-15,"41-60","41-60F",0,11,"$142297 ","F","No","No","","PhD","$0 ",NA,"Highly Urban","1997Q3"
0,1997-09-18,6,"Private","$20030 ",1993-09-26,4,3,"SUV","no","$0 ",0,"No",2,"$0 ",NA,"No",1956-06-15,"41-60","41-60F",0,11,"$142297 ","F","No","No","","PhD","$0 ",NA,"Highly Urban","1997Q3"
0,1997-06-14,25,"Private","$7520 ",1997-05-18,1,2,"Sports Car","no","$1101 ",1,"No",0,"$0 ",NA,"No",1957-03-08,"41-60","41-60F",2,13,"$7313 ","F","Yes","No","Home Maker","Bachelors","$94969 ",9,"Urban","1997Q2"
0,1997-03-23,25,"Private","$14300 ",1980-05-22,17,2,"SUV","no","$27090 ",1,"No",5,"$0 ",NA,"No",1957-03-08,"41-60","41-60F",2,13,"$7313 ","F","Yes","No","Home Maker","Bachelors","$94969 ",9,"Urban","1997Q1"
0,1995-04-26,26,"Commercial","$11050 ",1989-05-17,6,2,"Pickup","no","$41833 ",3,"Yes",5,"$0 ",NA,"No",1940-12-15,"41-60","41-60M",0,NA,"$37528 ","M","Yes","No","","Masters","$185996 ",NA,"Highly Urban","1995Q2"
0,1997-05-19,28,"Private","$3770 ",1997-04-20,1,2,"Sedan","no","$5581 ",3,"No",2,"$9117 ",1998-01-01,"Yes",1971-12-13,"25-40","25-40M",1,11,"$27957 ","M","No","Yes","Clerical","High School","$0 ",10,"Highly Rural","1997Q2"
0,1993-11-24,43,"Private","$15240 ",1980-11-27,13,1,"Sedan","no","$0 ",0,"No",2,"$0 ",NA,"No",1961-07-24,"25-40","25-40M",0,9,"$23864 ","M","No","No","Clerical","<High School","$0 ",1,"Highly Rural","1993Q4"
0,1995-07-22,17,"Private","$11560 ",1991-07-23,4,1,"SUV","no","$0 ",0,"No",1,"$0 ",NA,"No",1948-06-27,"41-60","41-60F",0,12,"$58714 ","F","Yes","No","Manager","Bachelors","$220686 ",10,"Urban","1995Q3"
0,1997-10-28,43,"Commercial","$13950 ",1993-11-09,4,2,"SUV","no","$0 ",0,"No",1,"$0 ",NA,"No",1961-01-25,"25-40","25-40F",0,12,"$73664 ","F","No","No","Blue Collar","Bachelors","$0 ",13,"Highly Rural","1997Q4"
0,1997-11-13,43,"Commercial","$15110 ",1984-11-11,13,2,"SUV","no","$0 ",0,"No",2,"$0 ",NA,"No",1961-01-25,"25-40","25-40F",0,12,"$73664 ","F","No","No","Blue Collar","Bachelors","$0 ",13,"Highly Rural","1997Q4"
0,1993-07-17,10,"Commercial","$43590 ",1993-07-17,1,1,"Sedan","no","$0 ",0,"No",1,"$0 ",NA,"No",1932-12-30,">60",">60F",0,12,"$83827 ","F","Yes","No","Blue Collar","Bachelors","$275725 ",8,"Urban","1993Q3"
0,1996-05-15,5,"Private","$15140 ",1974-05-21,22,1,"SUV","no","$8431 ",1,"No",4,"$0 ",NA,"No",1960-07-05,"25-40","25-40F",0,10,"$31869 ","F","No","No","Clerical","High School","$0 ",7,"Urban","1996Q2"
0,1995-07-06,31,"Private","$26200 ",1995-07-06,1,1,"Pickup","no","$0 ",0,"No",0,"$0 ",NA,"No",1945-12-27,"41-60","41-60F",0,16,"$148193 ","F","Yes","No","Professional","Bachelors","$436694 ",16,"Urban","1995Q3"
0,1997-07-20,45,"Commercial","$9170 ",1986-06-26,11,3,"SUV","no","$1881 ",1,"No",8,"$4127 ",1998-03-10,"Yes",1964-05-17,"25-40","25-40F",2,14,"$29250 ","F","Yes","No","Blue Collar","High School","$159239 ",7,"Highly Urban","1997Q3"
0,1997-05-24,45,"Commercial","$23380 ",1997-06-23,1,3,"Pickup","no","$0 ",0,"No",1,"$0 ",NA,"No",1964-05-17,"25-40","25-40F",2,14,"$29250 ","F","Yes","No","Blue Collar","High School","$159239 ",7,"Highly Urban","1997Q2"
0,1993-12-25,22,"Private","$11390 ",1982-12-31,11,3,"Pickup","no","$0 ",0,"No",0,"$0 ",NA,"No",1949-11-12,"41-60","41-60M",0,14,"$15989 ","M","Yes","No","Clerical","<High School","$117038 ",5,"Urban","1993Q4"
0,1993-12-14,22,"Private","$20000 ",1979-01-01,14,3,"Van","no","$0 ",0,"Yes",0,"$0 ",NA,"No",1949-11-12,"41-60","41-60M",0,14,"$15989 ","M","Yes","No","Clerical","<High School","$117038 ",5,"Urban","1993Q4"
0,1994-01-04,22,"Private","$15330 ",1989-12-29,4,3,"Sedan","no","$0 ",0,"No",0,"$0 ",NA,"No",1949-11-12,"41-60","41-60M",0,14,"","M","Yes","No","Clerical","<High School","$117038 ",5,"Urban","1994Q1"
0,1996-03-24,5,"Private","$20310 ",1987-03-27,9,1,"SUV","no","$6596 ",1,"No",6,"$0 ",NA,"No",1973-02-28,"25-40","25-40F",4,12,"$27666 ","F","Yes","No","Clerical","High School","$0 ",9,"Rural","1996Q1"
0,1998-11-03,36,"Private","$6770 ",1994-11-04,4,1,"SUV","no","$0 ",0,"No",0,"$0 ",NA,"No",1970-03-23,"25-40","25-40F",4,4,"$23652 ","F","No","Yes","Clerical","High School","$0 ",8,"Rural","1998Q4"
0,1996-07-27,34,"Commercial","$21830 ",1993-06-14,3,3,"Van","yes","$8170 ",2,"No",3,"$0 ",NA,"No",1953-09-12,"41-60","41-60M",0,11,"$146882 ","M","No","No","Manager","PhD","$0 ",10,"Urban","1996Q3"
0,1994-07-12,47,"Commercial","$4200 ",1994-07-14,1,4,"Sports Car","no","$0 ",0,"No",4,"$4102 ",1994-07-24,"Yes",1972-02-15,"25-40","25-40F",3,13,"$35851 ","F","Yes","No","Blue Collar","High School","$147018 ",1,"Highly Urban","1994Q3"
0,1997-10-13,51,"Commercial","$6700 ",1987-10-16,10,1,"Pickup","yes","$5984 ",2,"No",6,"$1070 ",1998-05-10,"Yes",1947-09-15,"41-60","41-60M",0,13,"$77351 ","M","Yes","No","","Masters","$187879 ",16,"Urban","1997Q4"
0,1996-12-16,47,"Private","$13030 ",1997-02-05,1,3,"SUV","no","$2334 ",1,"No",3,"$14509 ",1997-09-16,"Yes",1958-06-19,"41-60","41-60F",0,0,"$0 ","F","No","No","Home Maker","Masters","$109155 ",15,"Urban","1996Q4"
0,1994-09-14,7,"Private","$14630 ",1977-09-18,17,1,"Sedan","yes","$0 ",0,"No",1,"$0 ",NA,"No",1943-09-05,"41-60","41-60M",2,11,"$75265 ","M","No","Yes","Manager","High School","$212010 ",10,"Urban","1994Q3"
3,1995-09-30,75,"Private","$13070 ",1995-09-30,1,1,"Sports Car","no","$3664 ",1,"No",0,"$5064 ",1996-03-31,"Yes",1937-04-23,">60",">60F",4,16,"$53698 ","F","Yes","No","Professional","Bachelors","",1,"Rural","1995Q3"
0,1994-01-09,25,"Private","$10010 ",1988-01-11,6,1,"Pickup","no","$0 ",0,"No",0,"$0 ",NA,"No",1946-02-13,"41-60","41-60M",0,6,"$32073 ","M","Yes","No","Blue Collar","High School","$145645 ",10,"Rural","1994Q1"
0,1994-09-08,40,"Commercial","$16010 ",1988-09-09,6,1,"Sedan","yes","$0 ",0,"No",1,"$0 ",NA,"No",1950-02-24,"41-60","41-60M",0,14,"$96143 ","M","Yes","No","Blue Collar","Bachelors","$275140 ",12,"Highly Rural","1994Q3"
