"KIDSDRIV","TRAVTIME","CAR_USE","BLUEBOOK","RETAINED","NPOLICY","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CLM_AMT","CLM_FLAG","AGE","AGE.GENDER","HOMEKIDS","YOJ","INCOME","GENDER","MARRIED","PARENT1","JOBCLASS","MAX_EDUC","HOME_VAL","SAMEHOME","DENSITY","AGE_YEARS"
0,"0-40","Private","0-200","0-7",2,"Pickup","yes","0-15",0,"No","0","0-50","Yes","41-60","41-60M",0,"12-18","0-100","M","Yes","No","Clerical","<High School","0-250","0-8","Highly Urban",39
0,"0-40","Private","0-200","0-7",2,"Sedan","yes","0-15",0,"No","4","0-50","Yes","25-40","25-40M",2,"12-18","0-100","M","No","Yes","Student","High School","0-250","0-8","Urban",29
0,"40-80","Commercial","200-400","0-7",1,"Panel Truck","yes","0-15",2,"No","0","0-50","Yes","41-60","41-60M",0,"12-18","100-200","M","No","No","","Masters","0-250","16-24","Urban",53
0,"0-40","Private","0-200","0-7",2,"SUV","no","0-15",0,"No","0","0-50","No","41-60","41-60F",3,"12-18","0-100","F","Yes","No","Student","High School","0-250","8-16","Rural",45
0,"0-40","Commercial","200-400","0-7",1,"Pickup","no","0-15",2,"No","2","0-50","No","41-60","41-60F",0,"12-18","0-100","F","Yes","No","Blue Collar","High School","250-500","0-8","Urban",49
0,"40-80","Private","200-400","7-14",1,"SUV","no","0-15",0,"No","0","0-50","No","25-40","25-40F",0,"6-12","0-100","F","Yes","No","Manager","Bachelors","250-500","8-16","Urban",35
1,"0-40","Commercial","200-400","7-14",1,"Van","no","0-15",0,"No","8","0-50","Yes","41-60","41-60F",1,"6-12","100-200","F","No","Yes","","PhD","0-250","8-16","Highly Urban",55
0,"0-40","Private","200-400","0-7",3,"Sedan","no","0-15",0,"No","0","0-50","No","41-60","41-60F",0,"6-12","100-200","F","No","No","Lawyer","PhD","0-250","8-16","Highly Urban",41
0,"0-40","Commercial","200-400","0-7",3,"Pickup","no","0-15",2,"No","0","0-50","No","41-60","41-60F",0,"6-12","100-200","F","No","No","","PhD","0-250","8-16","Highly Urban",41
0,"0-40","Private","200-400","0-7",3,"SUV","no","0-15",0,"No","2","0-50","No","41-60","41-60F",0,"6-12","100-200","F","No","No","","PhD","0-250","8-16","Highly Urban",41
0,"0-40","Private","0-200","0-7",2,"Sports Car","no","0-15",1,"No","0","0-50","No","41-60","41-60F",2,"12-18","0-100","F","Yes","No","Home Maker","Bachelors","0-250","8-16","Urban",40
0,"0-40","Private","0-200","14-21",2,"SUV","no","15-30",1,"No","5","0-50","No","41-60","41-60F",2,"12-18","0-100","F","Yes","No","Home Maker","Bachelors","0-250","8-16","Urban",40
0,"0-40","Commercial","0-200","0-7",2,"Pickup","no","30-45",3,"Yes","5","0-50","No","41-60","41-60M",0,"6-12","0-100","M","Yes","No","","Masters","0-250","8-16","Highly Urban",55
0,"0-40","Private","0-200","0-7",2,"Sedan","no","0-15",3,"No","2","0-50","Yes","25-40","25-40M",1,"6-12","0-100","M","No","Yes","Clerical","High School","0-250","8-16","Highly Rural",26
0,"40-80","Private","0-200","7-14",1,"Sedan","no","0-15",0,"No","2","0-50","No","25-40","25-40M",0,"6-12","0-100","M","No","No","Clerical","<High School","0-250","0-8","Highly Rural",32
0,"0-40","Private","0-200","0-7",1,"SUV","no","0-15",0,"No","1","0-50","No","41-60","41-60F",0,"12-18","0-100","F","Yes","No","Manager","Bachelors","0-250","8-16","Urban",47
0,"40-80","Commercial","0-200","0-7",2,"SUV","no","0-15",0,"No","1","0-50","No","25-40","25-40F",0,"12-18","0-100","F","No","No","Blue Collar","Bachelors","0-250","8-16","Highly Rural",37
0,"40-80","Commercial","0-200","7-14",2,"SUV","no","0-15",0,"No","2","0-50","No","25-40","25-40F",0,"12-18","0-100","F","No","No","Blue Collar","Bachelors","0-250","8-16","Highly Rural",37
0,"0-40","Commercial","400-600","0-7",1,"Sedan","no","0-15",0,"No","1","0-50","No",">60",">60F",0,"12-18","0-100","F","Yes","No","Blue Collar","Bachelors","250-500","8-16","Urban",61
0,"0-40","Private","0-200","21-28",1,"SUV","no","0-15",1,"No","4","0-50","No","25-40","25-40F",0,"6-12","0-100","F","No","No","Clerical","High School","0-250","0-8","Urban",36
0,"0-40","Private","200-400","0-7",1,"Pickup","no","0-15",0,"No","0","0-50","No","41-60","41-60F",0,"12-18","100-200","F","Yes","No","Professional","Bachelors","250-500","16-24","Urban",50
0,"40-80","Commercial","0-200","7-14",3,"SUV","no","0-15",1,"No","8","0-50","Yes","25-40","25-40F",2,"12-18","0-100","F","Yes","No","Blue Collar","High School","0-250","0-8","Highly Urban",33
0,"40-80","Commercial","200-400","0-7",3,"Pickup","no","0-15",0,"No","1","0-50","No","25-40","25-40F",2,"12-18","0-100","F","Yes","No","Blue Collar","High School","0-250","0-8","Highly Urban",33
0,"0-40","Private","0-200","7-14",3,"Pickup","no","0-15",0,"No","0","0-50","No","41-60","41-60M",0,"12-18","0-100","M","Yes","No","Clerical","<High School","0-250","0-8","Urban",44
0,"0-40","Private","200-400","14-21",3,"Van","no","0-15",0,"Yes","0","0-50","No","41-60","41-60M",0,"12-18","0-100","M","Yes","No","Clerical","<High School","0-250","0-8","Urban",44
0,"0-40","Private","0-200","0-7",3,"Sedan","no","0-15",0,"No","0","0-50","No","41-60","41-60M",0,"12-18","0-100","M","Yes","No","Clerical","<High School","0-250","0-8","Urban",44
0,"0-40","Private","200-400","7-14",1,"SUV","no","0-15",1,"No","6","0-50","No","25-40","25-40F",4,"12-18","0-100","F","Yes","No","Clerical","High School","0-250","8-16","Rural",23
0,"0-40","Private","0-200","0-7",1,"SUV","no","0-15",0,"No","0","0-50","No","25-40","25-40F",4,"0-6","0-100","F","No","Yes","Clerical","High School","0-250","8-16","Rural",29
0,"0-40","Commercial","200-400","0-7",3,"Van","yes","0-15",2,"No","3","0-50","No","41-60","41-60M",0,"6-12","100-200","M","No","No","Manager","PhD","0-250","8-16","Urban",43
0,"40-80","Commercial","0-200","0-7",4,"Sports Car","no","0-15",0,"No","4","0-50","Yes","25-40","25-40F",3,"12-18","0-100","F","Yes","No","Blue Collar","High School","0-250","0-8","Highly Urban",22
0,"40-80","Commercial","0-200","7-14",1,"Pickup","yes","0-15",2,"No","6","0-50","Yes","41-60","41-60M",0,"12-18","0-100","M","Yes","No","","Masters","0-250","16-24","Urban",50
0,"40-80","Private","0-200","0-7",3,"SUV","no","0-15",1,"No","3","0-50","Yes","41-60","41-60F",0,"0-6","0-100","F","No","No","Home Maker","Masters","0-250","8-16","Urban",39
