"Driving_kids","TRAVTIME","COMMERCIAL_VEHICLE","BLUEBOOK","RETAINED","NPOLICY","CAR_TYPE","RED_CAR","OLDCLAIM","Past_claim","REVOKED","MVR_PTS","CLM_AMT","CLM_FLAG","AGE","Kids","YOJ","INCOME","SEX_MALE","MARRIED","SINGLE_PARENT","JOBCLASS","MAX_EDUC","HOME_VAL","SAMEHOME","URBAN_NOT_RURAL","CAR_AGE","AGE_CAR","NEW_IN_JOB"
0,"0-40",0,"0-200","0-7",2,"Pickup",1,"0-15",0,0,0,"0-50",1,"41-60",0,"12-18","0-100",1,1,0,"Clerical","<High School","0-250","0-8",1,"0-7",6,0
0,"0-40",0,"0-200","0-7",2,"Sedan",1,"0-15",0,0,4,"0-50",1,"25-40",1,"12-18","0-100",1,0,1,"Student","High School","0-250","0-8",1,"0-7",4,0
0,"40-80",1,"200-400","0-7",1,"Panel Truck",1,"0-15",1,0,0,"0-50",1,"41-60",0,"12-18","100-200",1,0,0,"Other","Masters","0-250","16-24",1,"0-7",4,0
0,"0-40",0,"0-200","0-7",2,"SUV",0,"0-15",0,0,0,"0-50",0,"41-60",1,"12-18","0-100",0,1,0,"Student","High School","0-250","8-16",0,"0-7",4,0
0,"0-40",1,"200-400","0-7",1,"Pickup",0,"0-15",1,0,2,"0-50",0,"41-60",0,"12-18","0-100",0,1,0,"Blue Collar","High School","250-500","0-8",1,"0-7",4,0
0,"40-80",0,"200-400","7-14",1,"SUV",0,"0-15",0,0,0,"0-50",0,"25-40",0,"6-12","0-100",0,1,0,"Manager","Bachelors","250-500","8-16",1,"7-14",9,0
1,"0-40",1,"200-400","7-14",1,"Van",0,"0-15",0,0,8,"0-50",1,"41-60",1,"6-12","100-200",0,0,1,"Other","PhD","0-250","8-16",1,"7-14",10,0
0,"0-40",0,"200-400","0-7",3,"Sedan",0,"0-15",0,0,0,"0-50",0,"41-60",0,"6-12","100-200",0,0,0,"Lawyer","PhD","0-250","8-16",1,"0-7",6,0
0,"0-40",1,"200-400","0-7",3,"Pickup",0,"0-15",1,0,0,"0-50",0,"41-60",0,"6-12","100-200",0,0,0,"Other","PhD","0-250","8-16",1,"0-7",0,0
0,"0-40",0,"200-400","0-7",3,"SUV",0,"0-15",0,0,2,"0-50",0,"41-60",0,"6-12","100-200",0,0,0,"Other","PhD","0-250","8-16",1,"0-7",4,0
0,"0-40",0,"0-200","0-7",2,"Sports Car",0,"0-15",1,0,0,"0-50",0,"41-60",1,"12-18","0-100",0,1,0,"Home Maker","Bachelors","0-250","8-16",1,"0-7",0,0
0,"0-40",0,"0-200","14-21",2,"SUV",0,"15-30",1,0,5,"0-50",0,"41-60",1,"12-18","0-100",0,1,0,"Home Maker","Bachelors","0-250","8-16",1,"14-21",17,0
0,"0-40",1,"0-200","0-7",2,"Pickup",0,"30-45",1,1,5,"0-50",0,"41-60",0,"6-12","0-100",1,1,0,"Other","Masters","0-250","8-16",1,"0-7",6,0
0,"0-40",0,"0-200","0-7",2,"Sedan",0,"0-15",1,0,2,"0-50",1,"25-40",1,"6-12","0-100",1,0,1,"Clerical","High School","0-250","8-16",0,"0-7",0,0
0,"40-80",0,"0-200","7-14",1,"Sedan",0,"0-15",0,0,2,"0-50",0,"25-40",0,"6-12","0-100",1,0,0,"Clerical","<High School","0-250","0-8",0,"7-14",13,0
0,"0-40",0,"0-200","0-7",1,"SUV",0,"0-15",0,0,1,"0-50",0,"41-60",0,"12-18","0-100",0,1,0,"Manager","Bachelors","0-250","8-16",1,"0-7",4,0
0,"40-80",1,"0-200","0-7",2,"SUV",0,"0-15",0,0,1,"0-50",0,"25-40",0,"12-18","0-100",0,0,0,"Blue Collar","Bachelors","0-250","8-16",0,"0-7",4,0
0,"40-80",1,"0-200","7-14",2,"SUV",0,"0-15",0,0,2,"0-50",0,"25-40",0,"12-18","0-100",0,0,0,"Blue Collar","Bachelors","0-250","8-16",0,"7-14",13,0
0,"0-40",1,"400-600","0-7",1,"Sedan",0,"0-15",0,0,1,"0-50",0,">60",0,"12-18","0-100",0,1,0,"Blue Collar","Bachelors","250-500","8-16",1,"0-7",0,0
0,"0-40",0,"0-200","21-28",1,"SUV",0,"0-15",1,0,4,"0-50",0,"25-40",0,"6-12","0-100",0,0,0,"Clerical","High School","0-250","0-8",1,"21-28",22,0
0,"0-40",0,"200-400","0-7",1,"Pickup",0,"0-15",0,0,0,"0-50",0,"41-60",0,"12-18","100-200",0,1,0,"Professional","Bachelors","250-500","16-24",1,"0-7",0,0
0,"40-80",1,"0-200","7-14",3,"SUV",0,"0-15",1,0,8,"0-50",1,"25-40",1,"12-18","0-100",0,1,0,"Blue Collar","High School","0-250","0-8",1,"7-14",11,0
0,"40-80",1,"200-400","0-7",3,"Pickup",0,"0-15",0,0,1,"0-50",0,"25-40",1,"12-18","0-100",0,1,0,"Blue Collar","High School","0-250","0-8",1,"0-7",0,0
0,"0-40",0,"0-200","7-14",3,"Pickup",0,"0-15",0,0,0,"0-50",0,"41-60",0,"12-18","0-100",1,1,0,"Clerical","<High School","0-250","0-8",1,"7-14",11,0
0,"0-40",0,"200-400","14-21",3,"Van",0,"0-15",0,1,0,"0-50",0,"41-60",0,"12-18","0-100",1,1,0,"Clerical","<High School","0-250","0-8",1,"14-21",15,0
0,"0-40",0,"0-200","0-7",3,"Sedan",0,"0-15",0,0,0,"0-50",0,"41-60",0,"12-18","0-100",1,1,0,"Clerical","<High School","0-250","0-8",1,"0-7",4,0
0,"0-40",0,"200-400","7-14",1,"SUV",0,"0-15",1,0,6,"0-50",0,"25-40",1,"12-18","0-100",0,1,0,"Clerical","High School","0-250","8-16",0,"7-14",9,0
0,"0-40",0,"0-200","0-7",1,"SUV",0,"0-15",0,0,0,"0-50",0,"25-40",1,"0-6","0-100",0,0,1,"Clerical","High School","0-250","8-16",0,"0-7",4,0
0,"0-40",1,"200-400","0-7",3,"Van",1,"0-15",1,0,3,"0-50",0,"41-60",0,"6-12","100-200",1,0,0,"Manager","PhD","0-250","8-16",1,"0-7",3,0
0,"40-80",1,"0-200","0-7",4,"Sports Car",0,"0-15",0,0,4,"0-50",1,"25-40",1,"12-18","0-100",0,1,0,"Blue Collar","High School","0-250","0-8",1,"0-7",0,0
0,"40-80",1,"0-200","7-14",1,"Pickup",1,"0-15",1,0,6,"0-50",1,"41-60",0,"12-18","0-100",1,1,0,"Other","Masters","0-250","16-24",1,"7-14",10,0
0,"40-80",0,"0-200","0-7",3,"SUV",0,"0-15",1,0,3,"0-50",1,"41-60",0,"0-6","0-100",0,0,0,"Home Maker","Masters","0-250","8-16",1,"0-7",0,1
0,"0-40",0,"0-200","14-21",1,"Sedan",1,"0-15",0,0,1,"0-50",0,"41-60",1,"6-12","0-100",1,0,1,"Manager","High School","0-250","8-16",1,"14-21",17,0
1,"40-80",0,"0-200","0-7",1,"Sports Car",0,"0-15",1,0,0,"0-50",1,">60",1,"12-18","0-100",0,1,0,"Professional","Bachelors","0-250","0-8",0,"0-7",0,0
0,"0-40",0,"0-200","0-7",1,"Pickup",0,"0-15",0,0,0,"0-50",0,"41-60",0,"6-12","0-100",1,1,0,"Blue Collar","High School","0-250","8-16",0,"0-7",6,0
0,"0-40",1,"0-200","0-7",1,"Sedan",1,"0-15",0,0,1,"0-50",0,"41-60",0,"12-18","0-100",1,1,0,"Blue Collar","Bachelors","250-500","8-16",0,"0-7",6,0
0,"0-40",0,"0-200","0-7",4,"Sports Car",0,"0-15",0,0,0,"0-50",1,"25-40",1,"6-12","0-100",0,0,1,"Clerical","<High School","0-250","0-8",0,"0-7",0,0
0,"0-40",0,"0-200","0-7",4,"SUV",0,"0-15",0,0,0,"0-50",0,"25-40",1,"6-12","0-100",0,0,1,"Clerical","High School","0-250","8-16",0,"0-7",4,0
0,"0-40",1,"400-600","0-7",2,"Panel Truck",0,"0-15",0,1,1,"0-50",1,"41-60",0,"12-18","100-200",0,1,0,"Professional","PhD","250-500","16-24",1,"0-7",4,0
1,"0-40",0,"0-200","7-14",1,"Sedan",1,"0-15",1,0,0,"0-50",0,"25-40",1,"6-12","0-100",1,1,0,"Student","<High School","0-250","8-16",1,"7-14",7,0
1,"40-80",0,"0-200","0-7",1,"SUV",0,"0-15",0,0,0,"0-50",0,"25-40",1,"6-12","0-100",0,0,1,"Blue Collar","<High School","0-250","0-8",0,"0-7",6,0
0,"0-40",0,"0-200","0-7",1,"Pickup",0,"0-15",1,0,2,"0-50",1,"41-60",0,"12-18","0-100",1,0,0,"Clerical","<High School","0-250","0-8",1,"0-7",6,0
0,"40-80",0,"0-200","7-14",1,"SUV",0,"0-15",1,0,2,"0-50",0,"41-60",0,"0-6","0-100",0,0,0,"Home Maker","Bachelors","0-250","8-16",1,"7-14",7,1
0,"0-40",0,"0-200","7-14",1,"Pickup",1,"0-15",1,0,4,"0-50",0,"25-40",0,"6-12","0-100",1,1,0,"Blue Collar","<High School","0-250","0-8",1,"7-14",7,0
0,"0-40",0,"0-200","0-7",2,"SUV",0,"0-15",0,0,0,"0-50",0,"25-40",1,"12-18","0-100",0,1,0,"Blue Collar","<High School","0-250","0-8",0,"0-7",0,0
1,"0-40",1,"0-200","0-7",1,"Sports Car",0,"0-15",0,1,0,"0-50",1,"41-60",1,"6-12","0-100",0,1,0,"Blue Collar","Bachelors","0-250","8-16",1,"0-7",0,0
0,"40-80",1,"200-400","7-14",2,"Panel Truck",1,"0-15",0,0,0,"0-50",0,"41-60",0,"12-18","0-100",1,0,0,"Other","PhD","0-250","8-16",1,"7-14",7,0
0,"40-80",0,"0-200","0-7",1,"Sedan",0,"0-15",0,0,1,"0-50",0,"41-60",0,"12-18","100-200",1,1,0,"Lawyer","Masters","250-500","8-16",0,"0-7",4,0
0,"0-40",0,"0-200","0-7",2,"Sedan",0,"0-15",0,0,1,"0-50",0,"41-60",0,"6-12","0-100",1,1,0,"Manager","Bachelors","250-500","8-16",1,"0-7",0,0
1,"0-40",0,"0-200","0-7",3,"SUV",0,"0-15",0,0,0,"0-50",1,"41-60",1,"12-18","0-100",0,0,1,"Clerical","<High School","0-250","0-8",1,"0-7",3,0
1,"40-80",0,"0-200","7-14",3,"SUV",0,"30-45",1,1,0,"0-50",1,"41-60",1,"12-18","0-100",0,0,1,"Clerical","Bachelors","0-250","8-16",1,"7-14",9,0
1,"40-80",0,"0-200","7-14",3,"SUV",0,"0-15",1,0,7,"0-50",0,"41-60",1,"12-18","0-100",0,0,1,"Clerical","Bachelors","0-250","8-16",1,"7-14",12,0
0,"0-40",0,"0-200","0-7",1,"Sports Car",0,"0-15",0,0,0,"0-50",1,"25-40",1,"12-18","0-100",0,0,1,"Clerical","High School","0-250","0-8",1,"0-7",6,0
0,"0-40",1,"200-400","7-14",2,"Panel Truck",0,"0-15",1,0,0,"0-50",0,"25-40",1,"12-18","0-100",1,1,0,"Student","Bachelors","0-250","8-16",1,"7-14",10,0
0,"40-80",1,"0-200","0-7",2,"Pickup",1,"0-15",0,0,0,"0-50",0,"41-60",0,"6-12","0-100",1,1,0,"Clerical","High School","0-250","8-16",0,"0-7",0,0
0,"40-80",0,"0-200","0-7",2,"Sedan",1,"0-15",0,0,0,"0-50",0,"41-60",0,"6-12","0-100",1,1,0,"Clerical","High School","0-250","8-16",0,"0-7",6,0
0,"40-80",0,"0-200","7-14",3,"SUV",0,"0-15",0,0,1,"0-50",0,"41-60",1,"12-18","100-200",0,1,0,"Lawyer","Masters","250-500","8-16",1,"7-14",9,0
0,"40-80",0,"0-200","7-14",3,"Sports Car",0,"0-15",0,0,0,"0-50",0,"41-60",1,"12-18","0-100",0,1,0,"Lawyer","Masters","0-250","16-24",1,"7-14",10,0
0,"0-40",0,"0-200","7-14",3,"Sedan",0,"0-15",0,0,0,"0-50",1,"41-60",1,"12-18","0-100",0,1,0,"Lawyer","Masters","0-250","16-24",1,"7-14",10,0
0,"40-80",1,"0-200","7-14",2,"SUV",0,"0-15",0,0,0,"0-50",0,"41-60",0,"6-12","0-100",0,0,0,"Blue Collar","Bachelors","0-250","8-16",0,"7-14",7,0
0,"0-40",0,"0-200","7-14",1,"SUV",0,"0-15",0,0,0,"0-50",0,"41-60",0,"12-18","0-100",0,1,0,"Lawyer","Masters","0-250","8-16",1,"7-14",7,0
0,"40-80",1,"0-200","0-7",1,"Pickup",1,"0-15",0,0,0,"0-50",0,"41-60",0,"12-18","0-100",1,1,0,"Blue Collar","<High School","0-250","0-8",0,"0-7",4,0
0,"40-80",1,"0-200","0-7",2,"Pickup",0,"0-15",0,0,1,"0-50",0,"41-60",0,"0-6","0-100",1,0,0,"Professional","Bachelors","0-250","0-8",0,"0-7",0,0
0,"0-40",1,"200-400","0-7",2,"Panel Truck",1,"0-15",1,0,4,"0-50",0,"41-60",0,"12-18","0-100",1,1,0,"Manager","High School","0-250","0-8",1,"0-7",0,0
0,"40-80",0,"0-200","7-14",2,"SUV",0,"0-15",0,0,0,"0-50",0,"41-60",0,"6-12","0-100",0,0,0,"Lawyer","Masters","0-250","8-16",1,"7-14",9,0
0,"40-80",0,"0-200","7-14",2,"SUV",0,"0-15",1,0,0,"0-50",0,"41-60",0,"6-12","0-100",0,0,0,"Lawyer","Masters","0-250","8-16",1,"7-14",10,0
0,"0-40",0,"0-200","0-7",1,"Sedan",1,"45-60",1,1,1,"0-50",0,"25-40",0,"6-12","0-100",1,0,0,"Manager","High School","0-250","0-8",1,"0-7",0,0
0,"0-40",0,"400-600","7-14",1,"Van",0,"0-15",0,0,1,"0-50",0,"41-60",0,"0-6","0-100",0,1,0,"Clerical","<High School","250-500","8-16",1,"7-14",10,0
1,"0-40",0,"0-200","0-7",3,"Van",1,"0-15",0,0,0,"0-50",0,"41-60",1,"0-6","0-100",1,0,1,"Clerical","High School","0-250","0-8",1,"0-7",4,0
1,"0-40",0,"200-400","0-7",3,"Van",1,"0-15",1,0,1,"0-50",1,"41-60",1,"0-6","0-100",1,0,1,"Clerical","High School","0-250","8-16",0,"0-7",4,0
0,"0-40",1,"200-400","14-21",2,"Sedan",0,"0-15",0,0,2,"0-50",0,"41-60",0,"6-12","0-100",0,1,0,"Blue Collar","Bachelors","250-500","0-8",1,"14-21",14,0
0,"0-40",1,"0-200","0-7",1,"Pickup",0,"0-15",0,0,2,"0-50",1,"41-60",0,"12-18","100-200",1,1,0,"Other","PhD","0-250","16-24",1,"0-7",6,0
0,"0-40",0,"200-400","0-7",1,"Sedan",0,"0-15",0,0,0,"0-50",0,"41-60",0,"6-12","200-300",1,1,0,"Lawyer","Masters","500-750","16-24",1,"0-7",4,0
0,"0-40",0,"0-200","7-14",1,"Sedan",1,"0-15",0,0,0,"0-50",0,"41-60",0,"6-12","100-200",1,0,0,"Lawyer","Masters","0-250","8-16",1,"7-14",10,0
0,"0-40",1,"200-400","0-7",4,"Van",1,"0-15",1,0,1,"0-50",1,"25-40",0,"6-12","0-100",1,0,0,"Professional","Bachelors","0-250","8-16",1,"0-7",3,0
0,"40-80",1,"200-400","7-14",4,"Panel Truck",1,"0-15",0,0,0,"0-50",0,"25-40",0,"6-12","0-100",1,0,0,"Professional","Bachelors","0-250","8-16",0,"7-14",10,0
0,"0-40",0,"0-200","0-7",1,"Sports Car",0,"0-15",1,0,0,"0-50",0,"41-60",0,"6-12","0-100",0,0,0,"Professional","Bachelors","0-250","8-16",1,"0-7",4,0
0,"0-40",0,"0-200","0-7",1,"SUV",0,"0-15",1,0,0,"0-50",1,"25-40",0,"12-18","0-100",0,0,0,"Clerical","High School","0-250","0-8",1,"0-7",0,0
1,"0-40",1,"200-400","0-7",1,"Panel Truck",1,"0-15",1,0,1,"0-50",0,"25-40",1,"6-12","100-200",1,0,1,"Manager","Masters","250-500","16-24",1,"0-7",4,0
0,"0-40",0,"0-200","7-14",1,"Sports Car",0,"0-15",0,0,0,"0-50",1,">60",0,"6-12","0-100",0,0,0,"Manager","Masters","250-500","8-16",1,"7-14",9,0
0,"0-40",1,"200-400","7-14",1,"Van",1,"0-15",0,0,2,"0-50",0,"41-60",0,"6-12","100-200",1,1,0,"Other","Masters","250-500","16-24",1,"7-14",7,0
1,"40-80",1,"0-200","0-7",1,"Sedan",1,"0-15",0,0,0,"0-50",1,"41-60",1,"12-18","0-100",1,0,1,"Blue Collar","High School","0-250","0-8",1,"0-7",0,0
0,"40-80",0,"0-200","7-14",1,"Sports Car",0,"0-15",1,0,0,"0-50",0,"41-60",1,"6-12","0-100",0,0,1,"Professional","Bachelors","0-250","8-16",0,"7-14",9,0
0,"40-80",0,"0-200","7-14",2,"Pickup",1,"0-15",0,0,1,"0-50",0,"41-60",0,"12-18","0-100",1,0,0,"Clerical","<High School","0-250","0-8",0,"7-14",12,0
0,"40-80",0,"200-400","0-7",2,"Sedan",1,"0-15",0,0,0,"0-50",0,"41-60",0,"12-18","0-100",1,0,0,"Clerical","<High School","0-250","0-8",0,"0-7",0,0
0,"0-40",0,"0-200","0-7",1,"Sports Car",0,"0-15",0,0,1,"0-50",0,"41-60",0,"12-18","100-200",0,1,0,"Lawyer","Masters","250-500","8-16",1,"0-7",0,0
0,"40-80",0,"200-400","7-14",1,"Pickup",0,"0-15",0,0,0,"0-50",0,"41-60",0,"6-12","100-200",0,0,0,"Lawyer","PhD","250-500","16-24",1,"7-14",11,0
0,"0-40",1,"200-400","0-7",1,"Panel Truck",1,"15-30",1,1,7,"0-50",1,"25-40",0,"6-12","0-100",1,0,0,"Blue Collar","Bachelors","0-250","8-16",1,"0-7",0,0
0,"0-40",0,"200-400","7-14",1,"Van",1,"0-15",1,0,4,"0-50",0,"41-60",0,"12-18","0-100",1,1,0,"Doctor","PhD","250-500","16-24",1,"7-14",9,0
0,"0-40",0,"0-200","0-7",2,"Pickup",1,"0-15",0,0,1,"0-50",0,"41-60",0,"12-18","100-200",1,0,0,"Lawyer","Masters","0-250","16-24",1,"0-7",0,0
0,"0-40",0,"0-200","0-7",1,"SUV",0,"0-15",0,0,0,"0-50",0,"41-60",0,"12-18","0-100",0,1,0,"Home Maker","Bachelors","0-250","0-8",1,"0-7",6,0
1,"0-40",0,"0-200","0-7",1,"Van",0,"0-15",1,0,2,"0-50",1,"25-40",1,"12-18","0-100",1,0,1,"Professional","Bachelors","0-250","8-16",1,"0-7",0,0
1,"0-40",0,"0-200","0-7",1,"Sedan",1,"0-15",0,0,2,"0-50",1,"41-60",1,"6-12","100-200",1,0,1,"Professional","Bachelors","0-250","8-16",1,"0-7",0,0
0,"0-40",0,"0-200","0-7",1,"Sedan",1,"0-15",0,0,0,"0-50",0,"41-60",0,"6-12","0-100",1,1,0,"Professional","Bachelors","0-250","0-8",1,"0-7",0,0
0,"0-40",0,"0-200","0-7",3,"Sports Car",0,"0-15",0,0,3,"0-50",0,"41-60",0,"12-18","100-200",0,0,0,"Lawyer","Masters","0-250","8-16",1,"0-7",0,0
0,"0-40",1,"200-400","0-7",1,"Panel Truck",0,"0-15",1,1,2,"0-50",0,"25-40",1,"0-6","100-200",1,1,0,"Professional","Bachelors","250-500","8-16",1,"0-7",6,0
